num	cX(mm)	cY(mm)
1	66	72
2	81	280
3	76	132
4	109	480
5	125	126
6	146	675
7	139	349
8	155	443
9	173	505
10	169	315
11	259	594
12	269	659
13	281	289
14	290	439
15	310	73
16	323	642
17	306	339
18	328	508
19	329	295
20	337	121
21	359	345
22	350	61
23	363	307
24	391	86
25	486	278
26	478	109
27	480	662
28	484	614
29	489	179
30	502	475
31	516	428
32	520	87
33	541	295
34	536	657
35	534	608
36	553	156
37	552	464
38	572	417
39	643	288
40	691	497
41	680	344
42	733	329
43	733	280
44	744	684
45	748	97
46	743	230
